Calculated length: 74.759       actual length: 59.893
Calculated length: 51.241       actual length: 44.766
Calculated length: 95.964       actual length: 42.478
Calculated length: 63.089       actual length: 34.87
Calculated length: 92.245       actual length: 40.474
Calculated length: 71.191       actual length: 55.2
Calculated length: 107.6        actual length: 66.045
Calculated length: 152.453      actual length: nan
Calculated length: 151.041      actual length: nan
Calculated length: 108.525      actual length: 61.633
Calculated length: 64.564       actual length: 61.509
Calculated length: 125.388      actual length: 40.004
Calculated length: 140.122      actual length: 35.939
Calculated length: 60.464       actual length: 44.907
Calculated length: 64.919       actual length: 61.701
